	GPSLAT	GPSLON	GPSALT	GPSSPE	HUM	TEMP	PRES	CO	CO2	NH2	NH3	TVOC	COMX	COMY	COMZ	ACCX	ACCY	ACCZ	GYRX	GYRY	GYRZ	BAT	VEL	ANGA	ANGB
60	54.1266	38.75	32.171	0.9943	79.939	28.5485	93326.68	44.742	85.6229	43.6848	18.4044	76.4411	110.35	227.1	110.43	69.3653	34.0626	26.4255	0.93	177.92	294.22	1	1792	-141.763562	174.352045
61	85.8069	70.1055	37.288	81.4533	45.9489	-12.0743	93193.358	83.4409	52.9791	26.3125	37.5003	91.9688	32.81	18.58	172.36	98.3078	21.7188	56.4139	139.29	126.48	43.02	1	303	-139.304253	-37.555366
62	51.6784	56.2145	68.7858	32.6504	55.5258	-18.5506	93060.036	48.1969	8.5616	5.6541	28.2843	7.2363	119.46	211.56	238.37	42.7284	88.6916	74.2139	250.04	113.16	55.38	1	468	-19.945359	-16.182452
63	45.6379	37.9701	81.5519	90.7723	56.2557	-3.2569	92926.71399999999	72.472	23.6767	49.1827	43.859	3.1822	199.08	311.76	218.7	14.9215	68.8914	95.0949	283.71	184.96	152.56	1	167	62.028918	-32.158674
64	69.8542	83.0875	46.4996	44.463	35.3731	-8.1761	92793.39199999999	29.6198	75.5282	80.613	96.6472	73.992	320.09	358.56	203.61	81.9448	44.3373	82.4593	341.19	107.22	295.04	0	790	26.081751	10.035368
65	16.8653	87.9209	11.0115	74.1939	94.5475	-0.7939	92660.06999999999	62.8207	15.5734	11.3549	81.9878	33.6428	263.08	209.7	105.43	71.8512	76.8397	60.7685	152.15	52.38	246.93	0	1777	-114.345368	-1.394489
66	41.549	42.2873	31.3799	30.3021	4.4289	7.3527	92526.74799999999	89.02	88.3419	17.3026	1.796	9.4528	243.11	248.85	227.29	75.4137	89.2559	91.3717	194.49	340.44	141.25	0	1635	27.378106	31.67871
67	58.792	81.8253	20.4566	23.6977	42.0533	3.7236	92393.42599999999	54.4282	42.536	8.2171	90.8767	80.5973	191.13	139.45	262.64	59.3928	60.034	22.0372	205.16	52.13	281.82	0	1236	62.227839	24.599922
68	22.345	20.3858	28.6119	57.3674	56.9387	-8.9814	92260.10399999999	31.5433	83.8517	16.4107	70.7799	10.9721	150.71	114.98	282.84	70.6248	98.3212	46.0077	349.55	12.31	233.84	0	1483	144.44956	-149.730706
69	27.3398	36.5218	33.2693	80.6942	8.294	12.7136	92126.78199999999	56.3826	42.3908	12.2642	8.7759	21.8417	279.78	41.94	46.47	14.1201	58.5095	70.2419	70.26	135.82	133.32	1	889	101.121968	-51.931214
70	50.6492	47.9194	33.4366	21.9268	83.6196	23.705	91993.45999999999	56.1292	95.4104	36.4821	89.5164	86.0371	256.91	172.59	113.29	88.9171	51.6642	29.4672	220.35	65.1	313.08	0	871	-44.291274	-4.541001
71	94.4378	57.5154	22.5705	57.8058	43.0735	-17.1261	91860.13799999999	94.0206	29.2645	10.8561	39.4864	92.4348	1.55	201.24	309.3	16.1279	41.0625	80.5643	58.83	320.84	95.35	0	342	-152.508206	-165.134542
72	72.3131	53.0052	17.4649	49.5319	17.9492	-25.0393	91726.81599999999	68.2579	78.3651	35.9909	74.1022	30.1114	172.4	251.39	244.97	16.3954	15.3156	55.5784	2.31	287.42	121.44	1	1228	176.828923	47.074987
73	82.0162	21.9737	83.9697	96.8068	44.662	-13.9679	91593.49399999999	65.0701	72.2568	53.0455	83.3182	15.7811	310.24	23.65	103.33	58.6653	13.0918	12.959	58.17	217.43	241.82	1	691	105.379504	101.392751
74	27.7225	40.1316	90.5376	37.3116	90.7872	-34.3058	91460.17199999999	34.2832	41.3566	12.5486	25.3633	56.8023	111.31	355.77	320.98	78.5605	14.3963	28.4224	119.92	322.78	281.83	0	1712	13.337967	-39.131151
75	78.7027	4.936	61.6433	73.0306	97.6037	-34.3045	91326.84999999999	21.7755	17.6446	47.5259	44.461	18.081	35.8	153.77	107.28	10.4875	35.1783	34.9076	91.23	324.27	29.48	1	749	-155.535991	67.391187
76	35.4122	83.0019	48.888	22.8179	20.666	14.1455	91193.52799999999	87.4022	46.3929	64.236	85.3405	20.3906	219.79	270.91	334.66	56.5546	32.9752	41.8781	120.58	73.77	92.01	0	80	-40.128582	133.787926
77	69.9601	6.8904	26.3736	78.8779	11.8818	10.4313	91060.20599999999	89.8862	12.0616	29.6107	31.634	52.1571	193.86	83.22	9.65	75.1617	8.8061	12.2504	246.7	12.36	309.74	1	429	-39.39233	-172.827267
78	37.6064	89.2738	37.7099	86.6599	80.5059	-25.14	90926.88399999999	94.9992	39.2246	78.1181	38.3375	39.6999	199.65	77.07	67.72	86.5432	48.071	52.8888	179.7	339.75	301.04	0	923	-73.667969	83.079882
79	8.4887	79.1874	20.4807	76.8876	57.3913	-26.378	90793.56199999999	16.5872	48.1914	73.4587	27.327	67.1025	259.22	54.8	64.66	69.5446	92.8586	56.1693	297.31	9.86	228.77	0	1113	-94.230311	156.03
80	0.4324	90.8291	35.287	2.3622	84.526	19.31	90660.23999999999	24.3039	20.0339	39.8121	92.2725	66.1178	81.5	238.65	120.34	61.2444	15.6915	81.2345	312.07	78.16	273.71	0	1165	-36.365143	-165.405298
81	16.978	97.6292	3.0749	72.8312	33.2834	8.6922	90526.91799999999	11.3081	73.2364	79.2301	36.5255	38.8316	356.35	45.0	257.28	81.8538	61.1173	77.1528	29.43	20.24	64.48	1	933	-163.151023	126.000998
82	16.7675	14.1039	94.7413	96.0791	87.027	-31.1761	90393.59599999999	69.4042	81.6902	6.0709	44.0285	24.3936	199.13	35.29	244.09	39.7643	37.8807	0.6313	343.15	353.77	60.27	1	1403	81.305327	-105.712352
83	58.7631	11.1635	8.0253	85.0583	79.4947	-39.7762	90260.27399999999	25.3702	49.3696	17.891	63.0713	48.2027	176.82	342.82	214.75	35.6555	76.5457	77.6673	71.64	181.23	88.44	1	886	97.843612	94.839831
84	61.7853	30.002	63.3264	56.6797	17.63	-2.6537	90126.95199999999	19.5255	19.787	36.6053	59.931	1.9559	307.37	111.53	122.35	0.9086	75.7968	97.8795	219.11	343.82	288.83	0	672	60.380576	-125.648675
85	3.8863	22.5254	50.5348	84.3231	48.7098	6.2497	89993.62999999999	1.2889	90.029	35.0856	96.516	75.3526	262.25	286.23	145.52	62.9077	21.096	3.2756	22.71	279.12	81.16	0	589	-113.536596	165.985951
86	33.9235	19.6033	71.9574	65.4137	76.3821	-7.9943	89860.30799999999	59.599	22.5911	11.1835	62.839	34.8651	61.93	72.58	357.5	41.3091	60.2082	31.8053	353.95	265.9	15.11	0	1224	-120.709849	104.426745
87	10.2863	20.0316	51.0214	34.7554	28.9961	-20.6002	89726.98599999999	92.6409	12.1413	86.7433	72.9844	26.8214	173.18	133.56	9.29	8.5146	85.7453	0.0523	287.67	67.3	187.37	0	1386	123.935686	91.836724
88	55.54	43.8488	16.5877	29.5962	57.6604	1.6981	89593.66399999999	55.5526	9.7165	24.2545	32.3974	59.6341	27.24	67.94	130.41	53.9417	78.9557	7.3104	326.78	39.24	316.36	0	1168	106.718499	122.0227
89	34.2758	21.9102	63.3427	19.5656	39.8978	-36.7803	89460.34199999999	92.3516	19.5009	48.2923	9.9022	11.9683	357.57	164.91	157.63	2.4401	79.6176	30.5517	231.35	133.1	214.36	0	281	140.026516	-117.753624
90	51.8168	22.7209	27.2894	17.4427	22.0402	1.1482	89327.01999999999	56.4727	81.272	51.131	41.5329	79.8043	354.32	224.04	146.32	28.775	47.2816	78.1428	333.22	298.97	341.82	1	237	-110.121023	-63.314431
91	20.5532	73.085	5.4427	90.6567	26.996	7.9186	89193.69799999999	87.4423	88.5283	56.1762	60.2182	0.9585	357.15	334.92	23.26	5.1048	2.0401	66.8255	117.13	23.61	267.61	1	178	104.620016	-62.258793
92	40.5328	63.8961	7.3349	64.0566	1.0925	-19.5918	89060.37599999999	32.9553	95.5132	67.5665	95.142	57.0121	292.1	323.38	259.03	72.2408	82.5756	30.2847	116.97	92.53	296.53	1	3	101.418461	42.699615
93	40.5426	23.7528	77.1877	55.5488	89.4267	-5.2492	88927.05399999999	78.9291	5.6699	46.6501	93.9237	59.8012	160.32	221.92	193.52	59.5126	17.2256	74.8444	57.29	333.03	23.8	0	54	-179.059671	-68.092246
94	61.253	61.7362	91.9038	69.6805	53.2518	-39.912	88793.73199999999	53.9649	67.5945	26.1515	97.8942	22.579	345.52	315.0	130.49	43.5718	6.9023	18.4098	57.7	174.89	346.84	0	195	-154.961076	-19.03039
95	38.1286	45.8828	93.1646	39.9033	9.4223	16.2687	88660.40999999999	95.8912	70.686	14.4743	49.4296	92.0789	225.11	72.11	16.6	81.6347	42.401	91.9562	20.79	183.83	253.45	1	599	-104.087013	25.479847
96	68.7805	83.2416	64.8624	5.8189	54.0604	2.5105	88527.08799999999	96.5083	95.9128	34.127	75.5895	79.0738	295.3	256.47	82.69	13.9838	43.7017	62.2914	340.9	348.83	343.59	1	1630	71.719228	-159.950016
97	2.0175	36.2722	0.343	20.9153	74.6876	5.9497	88393.76599999999	50.1598	63.8524	61.5404	54.895	26.7364	339.33	282.61	323.47	74.3499	75.5536	15.2738	89.24	89.87	307.44	1	1210	131.700095	174.953058
98	10.3253	22.3526	39.6264	69.011	10.8525	-31.9154	88260.44399999999	57.6531	76.3303	42.688	67.0668	13.5333	12.8	160.14	175.82	4.0971	1.3553	5.9501	291.69	267.36	292.89	0	1170	-10.594888	-113.602164
99	63.8102	23.8591	61.9309	32.4436	34.1571	-3.4494	88127.12199999999	68.4163	28.0715	84.4646	4.4398	22.3899	359.52	313.81	83.86	29.6946	57.7505	11.2402	19.95	27.21	204.77	1	774	-31.855995	-54.902992
100	9.947	62.6206	4.819	4.2544	35.613	10.6707	87993.79999999999	64.7471	74.1525	87.8929	9.3884	35.3481	88.78	327.17	327.44	31.5293	24.3601	84.5359	268.92	29.59	37.08	1	525	-105.501546	75.860511
101	2.4738	86.3298	79.5221	17.0489	63.391	-26.0964	87860.47799999999	6.5452	39.9219	54.477	20.5547	48.0126	273.39	99.13	91.39	87.6947	54.4368	4.5648	189.52	336.11	153.79	1	1085	-122.49769	115.113491
102	88.7588	67.1396	43.9714	14.5193	79.5525	24.0953	87727.15599999999	70.9635	11.9086	53.2296	41.1954	94.8106	279.92	276.19	112.6	50.7517	37.9046	56.2857	317.04	218.19	258.1	1	649	103.874941	137.867093
103	76.2337	18.4293	6.7069	68.5952	91.3796	-4.9772	87593.83399999999	33.7536	13.6601	85.5798	49.5494	54.3812	92.14	325.53	98.74	64.7827	73.8052	59.1565	130.49	254.83	134.83	1	38	66.814566	-159.37681
104	45.5846	63.1792	49.9548	67.7087	24.5939	-30.5431	87460.51199999999	74.6153	22.5195	32.9132	10.7535	31.6999	157.27	26.54	18.45	35.0037	29.128	93.6509	92.13	74.94	129.58	1	479	118.868365	108.089636
105	76.7563	11.3902	25.7984	22.0175	76.8331	-24.5581	87327.18999999999	25.3355	23.8405	74.3428	31.5332	69.2383	55.22	335.95	36.88	12.2175	0.7178	2.4719	4.21	326.16	320.2	0	58	84.886352	141.861628
106	21.6954	56.0268	59.6497	79.2964	19.6842	29.1691	87193.86799999999	37.519	30.5021	67.8419	51.7647	6.1682	339.97	295.63	86.82	47.5528	37.9158	34.8059	263.31	153.36	97.36	0	984	170.452637	-62.232161
107	28.2057	36.6745	26.3678	5.9025	7.0386	23.9287	87060.54599999999	56.1527	22.2405	38.1085	30.936	96.8232	69.29	188.52	294.58	92.6852	2.3267	63.4416	115.99	116.86	270.99	1	244	-143.615077	4.484109
108	69.9514	92.4858	33.1887	5.3952	94.8082	-18.9994	86927.22399999999	49.4766	78.4625	56.6157	47.7205	59.9862	2.46	41.57	89.33	64.0826	64.9934	51.3704	109.75	323.25	1.41	1	1115	145.567383	-92.397863
109	37.8916	17.7513	23.8476	1.8976	45.9377	-36.3752	86793.90199999999	24.4518	32.7152	62.824	48.5854	23.6432	180.83	198.91	51.04	72.0431	74.0497	18.4903	1.13	225.67	246.86	1	1198	-103.721727	-92.928621
110	28.3745	24.4307	68.4557	77.994	78.7803	-39.9104	86660.57999999999	24.3742	70.221	90.447	60.928	24.9398	208.32	135.25	209.12	71.8259	84.0684	52.4278	13.25	306.58	40.51	0	266	13.59489	-9.942209
111	11.4899	41.3777	2.8036	64.1573	52.9978	-10.5694	86527.25799999999	48.2088	30.1671	4.8044	4.8881	21.8846	234.16	359.0	72.5	64.9143	43.304	5.5222	194.17	136.99	136.71	1	6	-22.948014	154.086182
112	7.9946	90.8779	15.1156	3.818	17.4483	-13.2173	86393.93599999999	58.5154	87.7649	73.1463	5.8298	31.9805	306.63	57.93	72.15	22.2781	78.3256	89.1906	204.75	68.15	31.48	1	673	8.984371	-116.127544
113	91.7942	81.4694	24.1554	55.3752	42.7529	13.5389	86260.61399999999	89.3251	87.9559	89.9782	26.1932	45.6969	6.68	340.58	172.91	12.2074	37.7583	89.6125	142.91	240.44	282.63	0	1054	-109.781959	104.766131
114	47.0367	9.3625	70.9183	92.4711	24.5373	29.9543	86127.29199999999	93.8052	1.1904	33.9374	45.83	86.7353	260.67	102.28	320.04	85.0978	21.0924	4.2091	277.41	60.91	29.6	0	94	98.644091	-80.214166
115	40.2878	11.0721	81.7489	87.1051	79.7259	7.8935	85993.96999999999	11.6806	73.7161	24.1723	85.4611	30.5131	298.26	158.34	300.3	79.8148	88.1847	13.433	277.05	4.78	319.09	0	8	95.547028	155.584261
116	76.0286	89.3394	28.2944	19.8319	25.4325	19.7206	85860.64799999999	94.6967	85.1936	90.3284	88.7622	4.1393	240.72	324.95	296.92	77.1737	76.0748	74.7447	20.42	10.79	65.68	1	217	-44.787305	-148.908995
